trial,period_days
439,40.57167675978246
440,40.571839667750055
441,40.57162398095056
442,40.57177171463377
443,40.57163969780174
444,40.571728208545096
445,40.57177579561608
446,40.571749348138155
447,40.571665891416046
448,40.57162581162834
449,40.57167944835203
450,40.57170869403819
451,40.57172317867071
452,40.571695272118745
453,40.57177910187875
454,40.57167779803808
455,40.57176203294625
456,40.57168344741342
457,40.5718442364639
458,40.57165228747033
459,40.57180169342962
460,40.57176700580817
461,40.57177847770731
462,40.57174917518569
463,40.57163924002509
464,40.57174904141311
465,40.571763321614185
466,40.5717464031967
467,40.57167395518536
468,40.57175636172951
469,40.5717416382538
470,40.57188563517616
471,40.571791674637325
472,40.57178584913163
473,40.57178891811827
474,40.571862048681396
475,40.57172621531208
476,40.57172167858846
477,40.57171397790091
478,40.571613491485095
479,40.5716704297181
480,40.57162871440778
481,40.5717101503177
482,40.571834471130956
483,40.5717746685641
484,40.57182105700372
485,40.57170398462256
486,40.5716989539917
487,40.571734227687216
488,40.57172927523072
489,40.57165323175582
490,40.57169640448137
491,40.571661964352415
492,40.57185782016188
493,40.57178377111211
494,40.57168858177647
495,40.571799373670956
496,40.571653597350746
497,40.57172034351993
498,40.57171689545339
499,40.571730192578
500,40.57172107668771
501,40.57176625385341
502,40.571782716870416
503,40.57175292029706
504,40.57177594738016
505,40.571769764267515
506,40.571697730267715
507,40.571734683272666
508,40.571678337151525
509,40.57175250383841
510,40.5717313819199
511,40.57160999674511
512,40.57170333641409
513,40.571739612724514
514,40.57189367806939
515,40.57182067134647
516,40.57171897473131
517,40.57163206098164
518,40.57167628258105
519,40.571733221665795
520,40.57172288489164
521,40.57161043894291
522,40.57170273784277
523,40.57174625479297
524,40.571778581935405
525,40.57173004690162
526,40.571756256555204
527,40.57169648926629
528,40.571649729050705
529,40.57183983092773
530,40.57168817393415
531,40.57179572042605
532,40.57175413713139
533,40.5718083474917
534,40.57159618597336
535,40.571729190430574
536,40.57159781638563
537,40.571681784716475
538,40.57160622055369
539,40.57181752203974
540,40.5716985118155
541,40.57174135286641
542,40.57172685743012
543,40.57174076971148
544,40.57179822389912
545,40.57179604291207
546,40.57168988795104
547,40.57181354428269
548,40.57173810483107
549,40.57168007294388
550,40.571682314296936
551,40.57172295001794
552,40.57183861593671
553,40.57171839950388
554,40.57167978012353
555,40.57173518736806
556,40.57162829747995
557,40.57170419989734
558,40.57174418003501
559,40.571644224041165
560,40.571666885234094
561,40.57176573131164
562,40.57180872650645
563,40.571662166589476
564,40.57188681713774
565,40.57162551716408
566,40.571725167998125
567,40.571778750867225
568,40.57173374642332
569,40.57179778837724
570,40.571717469256555
571,40.57179467402318
572,40.571891765408054
573,40.57173050931942
574,40.57168332426022
575,40.571710584396556
576,40.57174984903622
577,40.57174117415059
578,40.57180509711566
579,40.571798988012574
580,40.57174911188508
581,40.57164847554566
582,40.57171094483272
583,40.571610217589864
584,40.57170644797918
585,40.57157139281037
586,40.57173315233376
587,40.57171082598393
588,40.57179853243588
589,40.571796017269435
590,40.571760011178185
591,40.57180123202966
592,40.571680529602986
593,40.571745157349824
594,40.57176864480368
595,40.571771138545955
596,40.571745767096104
597,40.57182882369602
598,40.57177217653543
599,40.57175940494733
600,40.57179601723351
601,40.57185356393313
602,40.57177131905348
603,40.57165251285949
604,40.571700783816254
605,40.57179761636576
606,40.571733986576646
607,40.57172191027007
608,40.57169257056205
609,40.57163042475338
610,40.571797318336166
611,40.571887265774194
612,40.57173103768275
613,40.57175170311916
614,40.57166845178244
615,40.57170718017426
616,40.57179903903841
617,40.57156751524121
618,40.57189830210257
619,40.57168355265253
620,40.57173617207593
621,40.571872189779356
622,40.57171683593788
623,40.5716771409019
624,40.5716879569444
625,40.5717127517903
626,40.571694235591735
627,40.57161776935243
628,40.57175014936206
629,40.57172388194226
630,40.571736086957344
631,40.57169830721284
632,40.5718999546184
633,40.57192615793497
634,40.571771144211766
635,40.57179119705086
636,40.57167223317242
637,40.571746571600215
638,40.571738777457426
639,40.57174041412361
640,40.57176946251195
641,40.5716312309288
642,40.571641952225036
643,40.571650459369835
644,40.57186646779701
645,40.5717960233859
646,40.571754504660134
647,40.57184562651457
648,40.57182844477029
649,40.57182308463405
650,40.57174212028849
651,40.571777305380806
652,40.57166174774852
653,40.57171322065824
654,40.571833126944625
655,40.571721409325505
656,40.57173611050894
657,40.57175641089998
658,40.57161880320871
659,40.5716982497097
660,40.571742499708535
661,40.57186644505316
662,40.571736400129
663,40.571774469192405
664,40.571883271937395
665,40.571758766553444
666,40.5717529628738
667,40.571722206350046
668,40.57171769345018
669,40.57169910130142
670,40.57176599626132
671,40.57169533313754
672,40.57168875084756
673,40.57174754773803
674,40.571704219717844
675,40.57180158643678
676,40.571743290795894
677,40.571666225397394
678,40.571800113525796
679,40.571780257276714
680,40.57173320313109
681,40.5718338974923
682,40.57167836224926
683,40.571726883421434
684,40.57168663878588
685,40.571719356398944
686,40.57169478784215
687,40.571754918954866
688,40.57170527956305
689,40.57168889548393
690,40.57167086378297
691,40.571754954038624
692,40.571493223453786
693,40.57159735636321
694,40.57169382391771
695,40.57165719697139
696,40.571724875361724
697,40.57180596628041
698,40.57178702977512
699,40.57181938746612
700,40.571652008119486
701,40.57166703387759
702,40.57168539173949
703,40.57182758437102
704,40.57181225726151
705,40.571694850383665
706,40.571906074531285
707,40.57174505799583
708,40.57171652667955
709,40.57174997765526
710,40.57160846440729
711,40.57166952184264
712,40.57166919606368
713,40.571616496379534
714,40.57185870548824
715,40.57185504698691
716,40.57175432727411
717,40.5717573518117
718,40.5717070369617
719,40.5717449449736
720,40.571658668892155
721,40.571811402884464
722,40.571814938410284
723,40.57172833734501
724,40.571698365164366
725,40.571633211899666
726,40.5716898313982
727,40.571712779752374
728,40.57178222303696
729,40.57175629612209
730,40.57176632644325
731,40.57173146614298
732,40.57170962062446
733,40.571855830681216
734,40.571702162048155
735,40.57164941680901
736,40.5717207992526
737,40.57179766578895
738,40.57177686560351
739,40.57176433903703
740,40.571696397869914
741,40.571830957058864
742,40.571760456043876
743,40.57173563484082
744,40.57172525072781
745,40.5717092984836
746,40.571701397848756
747,40.57172415664445
748,40.57176999672902
749,40.57182887759541
750,40.57161974055032
751,40.57165506867477
752,40.57181994371933
753,40.57172916956358
754,40.57181034191137
755,40.571777437261176
756,40.57174889399721
757,40.571737813351206
758,40.57172268187048
759,40.57168316646846
760,40.571685059470155
761,40.571762545010074
762,40.57182612427039
763,40.57162570527487
764,40.57175371607286
